,compound name,smile formula,EI99,Recipe,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
45,boron carbide,B12B3B4B1C234,0.10804777,0.33597925,-0.849201287,-4.298743884,0.127498772,-7.740838459,14.12230682,13.83980976,-3.686399764,13.49348345,-0.463512626,2.678535497,-0.181996364,2.66092164,0.3474931,0.642976769,0.825474132,0.693365233,-0.581075974,-1.034125784,0.599735442,-1.483825365,2.785275272,0.774013385,-0.343812829,-0.387519976,-0.778743451,1.398423706,-0.630603391,1.987584856
212,mecoprop,CC(Oc1ccc(Cl)cc1C)C(O)=O,0.027672876,0.10248073,8.323548848,-0.877383309,0.428514716,0.540937799,-1.10271946,-0.314659167,-1.164365178,-0.449838402,0.57164751,0.960555837,0.840536927,0.18895411,0.094561992,1.425010088,-0.460026308,0.787463078,-1.504155207,-1.928056038,0.710134636,-1.876531195,-0.795998618,2.414634748,1.847272275,-0.961569944,1.348698044,-0.599408148,3.863856967,-0.620531135
127,isohexane,CCCC(C)C,0.008357052,0.023545896,-2.306324922,-2.663910233,0.428424787,-2.987663603,-0.495391316,-0.931374412,2.194156438,-0.617726176,-2.137818324,1.205442758,1.782914484,1.311000285,-0.851784516,-0.248333703,-0.662293648,-0.08186134,-0.458765335,0.09468435,-0.038105127,0.672697864,-0.361857399,-0.208876386,-0.906460312,0.396481146,-0.235061183,-0.170192196,0.167062934,-0.429133418
68,cyanoacetic acid,OC(=O)CC#N,0.026060143,0.098019529,-1.283950768,3.184921809,-0.483073072,2.261779995,-1.116464934,-0.446079163,-3.448205343,0.554874396,-2.472586274,0.875284384,3.820150542,1.201787616,3.000654655,2.748489928,-1.945206911,0.479438546,0.616041912,0.451912166,-0.60517319,-0.387659896,-0.186761213,-1.701822789,0.283747055,0.537010553,0.326196388,0.727970195,0.326689631,-0.660965414
91,dipropylene glycol monomethyl ether,COC(C)COC(C)CO,0.022983579,0.093229774,2.851861558,3.320651959,-0.02645609,-4.063098716,-1.161325951,-1.587181976,-0.198554708,0.108723519,-0.414300753,-3.872932013,-0.837556613,-0.62927876,0.808460802,0.459490047,1.936398361,1.292887579,-1.369187898,0.599630923,-0.612476522,0.006669512,-1.09963021,0.914706295,-2.120906272,-0.142379502,-0.615948698,0.291179787,0.39076969,-0.524573074
120,hydrogen cyanide,C#N,0.010924564,0.077153042,-6.150247365,-0.625821325,-0.962609091,2.399996682,0.355516532,-0.636435048,-2.884057259,-0.183300043,-1.926523123,0.13408857,3.157425963,1.232991305,3.818812008,3.993733175,-1.145213637,0.053296181,1.473512315,-0.32801516,0.713059217,0.497478137,-0.605079693,-1.521288249,1.391067062,0.816732002,-0.214659574,1.407306498,0.157519892,-0.557442569
38,benzal chloride,ClC(Cl)c1ccccc1,0.012041858,0.05168197,1.267222215,-4.669497553,2.27206382,0.96577263,-0.568029892,-0.688588696,-0.974954552,-0.522341007,0.193689402,1.601636655,-0.162933591,-2.674824422,-1.274568832,-0.974276859,1.999638369,1.868409353,-0.956001391,-1.621773694,-1.973740489,0.482730041,0.068058785,-0.614252691,0.693083162,0.797960984,3.912104408,1.501655214,-2.040241576,0.391248233
160,pentane,CCCCC,0.002141093,0.017704485,-3.409823633,-2.37821138,0.174462159,-2.851888082,-0.8245185,-0.711679361,1.844035417,-0.351968697,-2.179714205,1.179268913,1.123175963,0.537239406,-0.607106244,-0.728662074,-0.618228556,-0.053469448,-0.052267812,-0.503562562,0.785855615,0.261195977,0.228869537,-0.804366515,-1.334618005,0.156039305,0.075120407,0.192093829,0.135422027,-0.016107291
195,trimethylamine,CN(C)C,0.01078338,0.044666584,-4.516839651,-0.158565856,-0.474400598,-1.035848142,0.838926085,-1.626758178,0.653147738,-0.065633509,-0.979982676,1.26948174,-1.456447988,-0.811413971,0.753728953,1.081717789,1.3018271,-0.132043783,0.493651482,0.880534022,-0.903911408,0.318257383,0.544458464,1.322925356,-0.586107624,0.750922389,-0.012669003,1.356818339,-0.137434115,-0.053304694
140,methyl formate,COC=O,0.013306966,0.056376022,-3.65424428,1.821929836,-0.595767999,-0.505627516,-0.674871497,1.17035844,-1.524682338,-1.769569368,0.648342896,-1.8360517,-1.616545324,0.664612718,0.736942072,-0.391443518,0.246755359,0.610476302,0.173319252,0.817740301,0.497625812,0.515750787,0.053923828,-0.479489697,-1.963341704,-0.26177488,0.633923291,-0.67674312,1.371873852,-0.039303642
200,octabenzone,CCCCCCCCOc1ccc(c(O)c1)C(=O)c2ccccc2,0.024431671,0.10172699,21.64177439,-5.931189253,-3.601655735,-5.436065115,-4.984266177,-0.280443495,2.903436197,0.707924993,0.443210204,-0.957586227,2.206195907,-0.072213382,1.703633508,-2.557221557,-1.395679753,2.785646928,6.431330155,-3.467549731,3.125298582,0.541129589,0.754196603,1.340388621,1.836457133,1.736671964,0.824746774,0.642594309,0.840316121,1.454971309
107,ethylene glycol monoethyl ether,CCOCCO,0.009061482,0.04456382,-1.434081354,2.33318828,-0.433847303,-2.652315701,-0.640747861,-1.418801976,-0.269633343,0.363912673,0.105051873,-2.550615676,-0.618200412,-0.900834553,-0.191451894,0.317050016,1.574100004,0.673828246,0.633272174,0.052242362,-0.030373396,-0.339717653,-0.510847262,-0.072847993,0.651271422,-0.352721922,-0.46280413,-0.181344003,0.26019564,0.129439278
136,methanol,CO,0.001903617,0.012545088,-6.07185482,0.812568161,-1.027556816,-0.595296164,-0.153652813,-0.956953172,-0.544694458,0.888393012,0.653867399,-0.462012292,-0.757745436,-0.411073378,-0.853347285,0.782439447,0.458475246,-0.582926752,1.255878,0.036574314,-0.099130913,-0.585955557,-0.209867496,-0.363661554,0.500021916,0.229455864,0.104371248,-0.787781521,-0.130448067,-0.25099478
94,Ethylenediaminetetraacetic acid,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,0.019064873,0.07789447,16.044934,16.98679997,1.463325916,-1.355509432,-0.532205053,-0.615661936,-2.656094485,-0.12116501,-2.942166364,7.389816834,-1.405717211,0.54492274,0.5996475,0.105509657,1.105574758,0.105380859,0.050346475,-0.154877965,-1.212548935,0.217684945,-0.245350403,-0.004031901,-0.717552717,-0.363134359,-0.584766847,-0.526083931,-0.429984321,-0.292453116
141,methyl iodide,CI,0.025450944,0.12947039,-5.496771301,-2.114665796,2.079428846,-0.559586136,0.392107134,-1.716126309,-0.159312213,-0.064924479,0.026204802,0.920564898,-1.329127205,0.567259447,-0.3246127,0.257217121,0.3280078,-0.023563379,1.186576751,-0.543955728,0.224776839,0.411824921,-0.182073591,-0.343802263,-0.919708074,0.189089202,0.285257076,-0.262074028,-0.050557092,-0.467496829
213,methylcyclopentane,CC1CCCC1,0.008518378,0.026183073,-2.102289844,-3.457368655,-0.016861972,-3.731406229,1.200385987,1.00630746,1.799386924,1.201134092,-2.258856622,1.531625713,2.025503855,1.875268309,-1.067481182,-0.481662221,-1.002206126,-0.124898458,-0.572744948,-0.106327546,0.17864533,0.564298508,-0.193898428,-0.423073276,-1.10565963,0.440881894,0.163376195,-0.241617994,0.161551864,-0.614066366
